,Artist,Track,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments
6960,Harish Raghavendra,"Thozhiya (From ""Kadhalil Vizhundhen"")",0.695,0.893,8.0,-2.09,0.051,0.507,0.0,0.103,0.849,96.034,296541.0,71.0,2.0,0.0
6961,Glenn Fredly,Januari,0.586,0.607,7.0,-6.7,0.0292,0.00389,0.0,0.17,0.278,122.171,222160.0,9281780.0,55334.0,4943.0
6963,Glenn Fredly,Sekali Ini Saja,0.526,0.404,0.0,-9.34,0.0287,0.201,3.81e-06,0.239,0.162,124.103,235280.0,10774822.0,43138.0,2714.0
6964,Glenn Fredly,Akhir Cerita Cinta,0.386,0.565,1.0,-6.853,0.0383,0.45,0.0,0.138,0.265,127.652,240280.0,56509322.0,184944.0,13091.0
6965,Glenn Fredly,Sedih Tak Berujung,0.33,0.471,7.0,-9.083,0.0445,0.619,3.36e-06,0.128,0.192,124.427,228387.0,12820222.0,43706.0,4176.0
6966,Glenn Fredly,Terserah,0.54,0.387,7.0,-8.066,0.0377,0.881,0.000391,0.184,0.193,119.886,244831.0,16931506.0,54093.0,3033.0
6967,Glenn Fredly,Kasih Putih,0.453,0.419,3.0,-7.814,0.0277,0.619,0.0,0.0863,0.251,123.928,234293.0,6500559.0,34403.0,3390.0
6968,Glenn Fredly,Malaikat Juga Tahu,0.45,0.378,6.0,-9.181,0.0426,0.75,0.0,0.0731,0.461,119.506,324013.0,6397317.0,31273.0,1450.0
6969,Glenn Fredly,You Are My Everything (feat. Red),0.59,0.689,4.0,-6.485,0.0487,0.0229,0.0,0.19,0.546,104.985,306227.0,2199265.0,12241.0,813.0
6970,Glenn Fredly,Kisah Romantis,0.749,0.826,4.0,-5.95,0.0316,0.38,0.0118,0.223,0.914,127.998,263480.0,6608009.0,20010.0,1107.0
6972,Sertab Erener,İyileşiyorum,0.474,0.508,5.0,-4.964,0.0359,0.639,0.0,0.119,0.184,178.063,257760.0,21301510.0,159763.0,7554.0
6974,Sertab Erener,Aşk,0.394,0.613,9.0,-6.896,0.0565,0.237,3.48e-06,0.111,0.191,143.987,211200.0,536326.0,6721.0,503.0
6975,Sertab Erener,Peşimde Kara Geceler - Live,0.682,0.494,5.0,-9.546,0.0912,0.528,0.0,0.112,0.281,141.926,198359.0,1129602.0,36177.0,2999.0
6976,Sertab Erener,Vur Yüreğim,0.259,0.657,11.0,-9.325,0.0939,0.278,2.79e-05,0.152,0.325,79.177,260132.0,355826.0,33990.0,2118.0
6977,Sertab Erener,Bir Çaresi Bulunur,0.65,0.671,4.0,-3.949,0.027,0.623,0.0,0.135,0.283,113.964,216680.0,23223192.0,143893.0,6475.0
6978,Sertab Erener,Bu Böyle,0.711,0.886,6.0,-1.961,0.0288,0.0831,0.0,0.175,0.902,129.989,288627.0,25932601.0,103918.0,2644.0
6979,Sertab Erener,Kime Diyorum,0.768,0.717,9.0,-4.484,0.0462,0.0585,0.0,0.121,0.909,130.002,247476.0,20547443.0,60669.0,2016.0
